Time,Temperature
1501,-0.7601677
1502,1.1961224
1503,0.7516914
1504,0.3207754
1505,0.9887493
1506,0.9879149
1507,0.67972815
1508,1.0879089
1509,0.14182355
1510,-0.016871957
1511,-0.06447625
1512,-0.2086771
1513,-0.5981201
1514,-0.41653594
1515,0.38489658
1516,0.1338895
1517,0.2759632
1518,0.6582678
1519,1.0704898
1520,0.3409462
1521,-1.1413652
1522,-0.9849017
1523,-1.2812859
1524,-2.694707
1525,-3.001722
1526,-2.6743143
1527,-2.8483331
1528,-3.1165738
1529,-3.6177487
1530,-3.0356412
1531,-2.648949
1532,-2.3792503
1533,-1.7020794
1534,-1.4774389
1535,-2.7521272
1536,-2.1328807
1537,-1.9905343
1538,-1.7908694
1539,-2.6610599
1540,-3.1268737
1541,-3.8321187
1542,-3.0988085
1543,-2.188298
1544,-2.3457727
1545,-2.265145
1546,-1.9707758
1547,-2.461131
1548,-2.6898103
